title,star
超脱,8.8
萤火虫之墓,8.7
驯龙高手,8.7
幸福终点站,8.6
菊次郎的夏天,8.7
小森林 夏秋篇,8.9
喜剧之王,8.5
岁月神偷,8.6
借东西的小人阿莉埃蒂,8.7
七武士,9.2
神偷奶爸,8.5
杀人回忆,8.7
海洋,9.0
真爱至上,8.5
电锯惊魂,8.7
贫民窟的百万富翁,8.5
谍影重重3,8.7
喜宴,8.8
东邪西毒,8.6
记忆碎片,8.5
雨人,8.6
怪兽电力公司,8.6
疯狂原始人,8.7
黑天鹅,8.5
英雄本色,8.7
燃情岁月,8.7
卢旺达饭店,8.8
虎口脱险,8.9
恋恋笔记本,8.5
7号房的礼物,8.7
傲慢与偏见,8.5
海边的曼彻斯特,8.6
小森林 冬春篇,8.9
哈利·波特与死亡圣器(下),8.7
萤火之森,8.7
教父3,8.8
纵横四海,8.7
完美的世界,9.0
荒蛮故事,8.8
魂断蓝桥,8.8
二十二,8.8
猜火车,8.5
穿越时空的少女,8.6
玩具总动员3,8.8
花样年华,8.5
雨中曲,9.0
心迷宫,8.6
唐伯虎点秋香,8.4
时空恋旅人,8.6
超能陆战队,8.6
我是山姆,8.8
蝙蝠侠：黑暗骑士崛起,8.6
人工智能,8.6
浪潮,8.7
冰川时代,8.4
香水,8.4
朗读者,8.5
罗生门,8.7
爆裂鼓手,8.6
追随,8.9
请以你的名字呼唤我,8.8
一次别离,8.7
撞车,8.6
未麻的部屋,8.8
可可西里,8.7
血战钢锯岭,8.7
战争之王,8.5
恐怖游轮,8.3
地球上的星星,8.8
梦之安魂曲,8.7
达拉斯买家俱乐部,8.7
被解救的姜戈,8.6
阿飞正传,8.5
牯岭街少年杀人事件,8.7
谍影重重,8.5
谍影重重2,8.5
魔女宅急便,8.5
头脑特工队,8.7
碧海蓝天,8.7
忠犬八公物语,9.0
惊魂记,8.9
房间,8.8
再次出发之纽约遇见你,8.5
青蛇,8.4
秒速5厘米,8.3
东京物语,9.2
哪吒闹海,8.9
海盗电台,8.6
末路狂花,8.7
绿里奇迹,8.7
终结者2：审判日,8.6
源代码,8.3
模仿游戏,8.6
勇闯夺命岛,8.5
新龙门客栈,8.5
黑客帝国3：矩阵革命,8.5
这个男人来自地球,8.5
卡萨布兰卡,8.6
一个叫欧维的男人决定去死,8.7
小萝莉的猴神大叔,8.6
城市之光,9.2
变脸,8.4
你的名字。,8.4
荒野生存,8.6
迁徙的鸟,9.1
E.T. 外星人,8.5
发条橙,8.4
无耻混蛋,8.4
初恋这件小事,8.3
美国丽人,8.4
黄金三镖客,9.1
英国病人,8.4
爱在午夜降临前,8.8
燕尾蝶,8.6
无人知晓,9.0
非常嫌疑犯,8.6
叫我第一名,8.6
疯狂的石头,8.3
穆赫兰道,8.3
勇士,8.9
无敌破坏王,8.6
国王的演讲,8.3
步履不停,8.8
血钻,8.5
上帝也疯狂,8.6
彗星来的那一夜,8.4
枪火,8.6
蓝色大门,8.3
大卫·戈尔的一生,8.6
遗愿清单,8.5
我爱你,9.0
千钧一发,8.7
荒岛余生,8.5
爱·回家,9.0
黑鹰坠落,8.5
麦兜故事,8.5
聚焦,8.8
暖暖内含光,8.4
